OTU ID	WRNA01_1	WRNA05_1	WRNA06_1	WRNA10_1	WRNA11_1	WRNA12_1	WRNA13_1	WRNA14_1	WRNA15_1	WRNA16_1
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66	0	3.13E-05	0.00E+00	0	0	0.00E+00	0	0	0	0
d__Bacteria;p__Chloroflexi;c__N9D0;o__N9D0;f__N9D0	0.000167291	0	0.00E+00	0.000120131	6.02E-05	3.60E-05	4.45E-05	0	0	2.43E-05
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;Other;Other	2.85E-05	0.00E+00	0	0.000102577	0	0	1.37E-05	0	0	0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae	0	0	0	0	0	1.39E-05	0	0	0	0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	8.27E-06	0.00E+00	0	2.30E-05	0	6.37E-05	0	0	0	0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae	0.001939468	0.001181689	0.00018241	0.002180455	1.17E-03	8.48E-04	0.00032892	0.001239548	0.000383679	0.000690041
d__Bacteria;p__Dadabacteria;c__Dadabacteriia;o__Dadabacteriales;f__Dadabacteriales	0	0.00E+00	0	0	8.60E-06	0	0	0	0	1.39E-05
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae	0	0	0	1.76E-05	5.16E-05	0	0	0.002376069	0	0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;Other	0.000181078	9.87E-05	6.08E-05	0.000176631	0.000223662	0.000144119	8.57E-05	0	3.95E-05	6.26E-05
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae	7.35E-06	4.81E-06	0	0	0	0	5.14E-06	0	0	0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliales	1.01E-05	0	0	0.000113548	3.23E-05	3.05E-05	1.03E-05	0	1.15E-05	0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409	0.00E+00	0	0	5.27E-05	0	0.00E+00	0	0	9.88E-06	6.95E-06
d__Bacteria;p__Desulfobacterota;Other;Other;Other	8.27E-06	0	8.29E-06	1.76E-05	0.00E+00	8.31E-06	0	0	0	3.48E-06
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae	2.21E-05	0.00E+00	0	0	0.00E+00	0.00E+00	0	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfolunaceae	0	3.37E-05	0	0	0.00E+00	0	0	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__uncultured	0	0.00E+00	0	4.72E-05	0.00E+00	0.00E+00	0	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae	1.19E-05	0	0	7.57E-05	7.53E-05	0.00E+00	0	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0	0	0	2.74E-06	0	0.00E+00	0	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Bradymonadales;f__Bradymonadales	9.19E-06	0	0	0	0	0.00E+00	0	4.83E-06	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19;f__PB19	4.41E-05	1.03E-04	1.11E-05	4.94E-05	9.25E-05	4.43E-05	0.000272387	0	6.26E-05	0
d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__Dissulfuribacteraceae	0	0.00E+00	0.00E+00	8.78E-06	0	0	1.71E-05	0	0	0
d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured	0.00E+00	0.00E+00	0	0	2.58E-05	3.33E-05	0	0	0	0
d__Bacteria;p__Entotheonellaeota;c__Entotheonellia;o__Entotheonellales;f__Entotheonellaceae	1.65E-05	0.00E+00	0.00E+00	0.000141524	5.81E-05	0.00E+00	0	0	0	0
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae	1.12E-04	9.87E-05	4.42E-05	0.000338999	3.87E-05	5.27E-05	0.000167886	0	3.62E-05	6.43E-05
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__TG3	2.57E-05	0.00E+00	0.00E+00	1.04E-05	0	0.00E+00	0	0	0	0
d__Bacteria;p__Firmicutes;Other;Other;Other	9.01E-05	6.50E-05	1.11E-05	9.38E-05	6.67E-05	1.11E-05	1.03E-05	0	0	9.21E-05
d__Bacteria;p__Firmicutes;c__Bacilli;Other;Other	6.53E-05	0	2.76E-05	0.000132199	0	2.22E-05	0	0	0	0
