KO	MIS1	MIS2	MIS3	MIS4	MIS5	MIS6	ISMF	ISMU	NIS1	NIS2
K16692	-3	-3	-3	-3	-3	-3	-3	-3	1.221077759	0.9138469
K13924	-3	-3	-3	-3	-3	-3	-3	-3	1.410206038	-3
K07648	-3	-3	-3	-3	-3	-3	-3	-3	1.351177271	0.340086974
K07664	-3	-3	-3	-3	-3	1.048689266	1.442548844	-3	-3	-3
K02668	-3	-3	-3	-3	-3	-3	-3	-3	0.465169379	1.231322966
K01643	-3	-3	-3	-3	-3	-3	1.52555062	-3	-3	-3
K01547	-3	-3	-3	-3	1.293879729	-3	-3	-3	-3	1.004351816
K07641	-3	-3	-3	1.92060525	1.603498619	-3	-3	-3	0.442378751	-3
K11688	-3	-3	-3	-3	-3	-3	-3	-3	1.314647703	-3
K07695	-3	-3	-3	-3	-3	-3	1.454234202	-3	-3	-3
K10002	-3	-3	-3	0.731600766	-3	-3	1.454234202	-3	-3	-3
K07638	-3	-3	-3	-3	-3	-3	-3	-3	1.091924429	0.591416722
K23514	-3	-3	-3	-3	-3	-3	-3	-3	1.197059674	-3
K07716	-3	-3	-3	-3	-3	-3	-3	-3	1.186436998	-3
K07720	-3	-3	-3	-3	-3	1.450258648	-3	-3	-3	-3
K13587	-3	-3	0.915354861	-3	-3	-3	-3	-3	0.350687359	1.029718169
K00374	-3	-3	-3	-3	1.413733469	-3	-3	-3	-3	-3
K02661	-3	-3	-3	-3	-3	-3	-3	-3	1.137391648	-3
K20973	-3	-3	-3	-3	-3	-3	-3	-3	1.11286342	-3
K07778	-3	-3	-3	0.011046451	-3	-3	-3	-3	1.055707018	-3
K07796	-3	-3	-3	-3	1.302914101	-3	-3	-3	-3	-3
K19611	-3	-3	-3	0.504986802	1.248444205	-3	-3	-3	-3	-3
K18940	-3	-3	-3	0.704365601	-3	-3	1.118156061	-3	-3	-3
K02472	-3	-3	-3	-3	1.209413131	-3	-3	-3	-3	-3
K19620	-3	-3	-3	-3	-3	-3	-3	-3	0.921175179	-3
K10913	-3	-3	-3	-3	-3	-3	-3	-3	0.819842613	-3
K07675	-3	-3	-3	0.47231978	-3	-3	0.730769482	-3	-3	0.281708523
K07679	-3	-3	-3	-3	-3	-3	-3	-3	-3	0.567422606
K19661	-3	-3	-3	-3	-3	-3	-3	-3	0.485268863	-3
K07649	-3	-3	-3	-3	-3	-3	-3	-3	0.459583124	-3
K10912	-3	-3	-3	-3	-3	-3	-3	-3	0.452255953	-3
K07788	-3	-3	-3	-3	-3	-3	-3	-3	0.420732296	-3
K07673	-3	-3	-3	-3	-3	-3	-3	-3	0.339337454	-3
