WRNA07,WRNA08,WRNA09,WRNA10,WRNA11,WRNA12,WRNA13,WRNA14,WRNA15,WRNA16
38.39291032,0,18.64298056,4.113011132,0,0,138.6586815,0,0,0
0,0,0,169.6406549,4.507154444,10.0575275,1.460794545,2.820240156,41.97064878,28.58681584
0,0,0,0,0,0,0,0,57.81071435,20.4329409
0,0,0,0,0,0,0,0,37.38485412,41.561428
0,0,0,11.80747053,0,0,0,0,22.10163412,49.911354
23.82309355,1881.91375,94.13702222,4.848071842,13.48512306,36.23982,64.95606061,0,12.79212753,1.7922248
0,0,0,1.815293026,0,0,0,18.17678594,40.85881725,5.7061454
0,0,0,0,0,0,0,0,34.36569447,39.485292
0,0,0,9.580707474,17.69476472,0,0,15.73901094,36.55348471,0
0,0,0,0,0,0,0,0,45.49576941,24.64522
0,0,0,2.874212632,0,0,0,0,45.49576941,24.64522
0,0,0,0,0,0,0,0,55.91214588,14.6747866
0,0,0,0,0,0,0,0,51.80013294,15.5030243
0,0,0,0,0,0,0,0,47.00970188,15.679923
0,0,0,2.210932184,0,0,0,0,61.55397812,0
7.93544,0,0,7.651070526,0,3.560415278,17.17686545,0,45.10904235,0
0,0,0,4.848071842,0,0,0,0,37.46303447,17.959745
0,0,0,0,0,0,0,0,21.40277647,29.920483
0,0,0,0,0,0,0,0,25.38234471,21.461899
0,0,0,0,0,0,0,0,3.020519176,40.0715366
0,0,0,0,0,0,0,0,2.162500588,38.398293
0,0,0,0.959593684,42.53494444,12.05672778,14.93077121,0,3.104873529,0
0,0,0,2.494150526,58.93060278,0,0,0,0,8.989277
0,0,0,2.530752211,0,0,0,0,16.08096471,20.6098396
0,0,0,14.14651684,0,59.24755,24.45690606,0,0,0
0,0,0,0,0,0,0,0,13.53725588,22.075086
67.60993097,0,0,36.21508684,0,34.33948889,12.52194,5.415571094,2.430385412,0
0,0,0,0,0,0,0,0,32.52193412,0
0,0,0,0,0,0,0,0,31.79891141,0
0,0,29.57683056,3.334723421,36.30247889,0,0,0,7.479147647,2.378049
0,0,0,15.34537526,0,21.42281944,26.52954545,0,0,0
0,0,0,7.360783421,0,0,0,0,22.04765412,5.5926752
0,0,0,0,0,0,0,0,16.63610506,8.199624
0,0,0,0,0,0,0,0,25.71515518,0
0,0,0,0,0,0,0,0,22.44698024,2.1871998
0,0,0,0,0,11.18537222,27.70340606,0,0,0
0,0,0,0,0,0,0,0,2.917565059,17.033248
0,0,0,0,0,0,33.53803939,0,0,0
0,0,0,0,19.67241389,0,0,0,0,10.099708
0,0,0,83.29137574,40.13172222,0,0,0,2.768355765,0
0,0,0,0,0,0,0,0,20.63605412,0
0,0,0,0,0,0,28.45895455,0,0,0
0,0,0,5.389148947,0,0,28.45895455,0,0,0
0,0,0,0,0,0,0,0,12.35632388,3.9021633
0,0,0,0,0,0,0,0,15.74099153,0
0,0,0,0,0,0,0,0,15.36061929,0
0,0,0,0,0,28.19961944,0,0,0,0
0,0,8.228147778,0,0,0,0,0,2.241267176,10.7072418
0,0,0,0,25.92487778,0,0,0,0,0
0,0,0,0,0,0,0,0,13.72018588,0
0,0,0,0,0,0,0,0,12.96671388,0
0,0,0,1.024761632,0,0,0,0,11.36760082,0
0,0,0,0,20.08595472,0,0,0,0,0
0,0,0,3.197797895,17.71820389,0,0,0,0,0
0,0,0,5.061506579,0,0,13.12571515,0,0,0
0,0,0,0,16.1952,0,0,0,0,0
0,0,0,0,0,0,0,0,8.339175294,0
0,0,0,0,0,0,0,0,6.603540588,0
0,0,0,2.966015263,0,0,5.378841515,0,0,1.9119716
0,0,0,0,0,0,0,0,0,3.6923682
0,0,0,0,0,0,0,0,3.055812941,0
0,0,0,0,0,0,0,0,2.880264471,0
0,0,0,0,0,0,0,0,2.832061176,0
0,0,0,0,0,0,0,0,2.633706824,0
0,0,0,0,0,0,0,0,2.183426588,0
